Year,Nitrogen oxide (t),Non methane volatile organic compounds (NMVOC) (t),Sulphur dioxide (t),Ammonia (NH3) (t),PM2.5 (t),PM10 (t),TSP (t),Black carbon (BC) (t),Carbon monoxide (CO) (t),Lead (Pb) (kg),Cadmium (Cd) (kg),Mercury (Hg) (kg),Arsenic (As) (kg),Chromium  (Cr) (kg),Copper (Cu) (kg),Nickel (Ni) (kg),Selenium (Se) (kg),Zink (Zn) (kg),Dioxin (g I-Teq),benzo(a)pyrene (kg),benzo(b)fluoranthene (kg),benzo(k)fluoranthene (kg),"Indeno(1,2,3-cd)pyrene (kg)",PAH 1-4 (kg),HCB (kg),PCB  (kg)
1990,13614.7,19654.4,12683.2,372.5,14350.9,15160.7,15564.8,..,153850.5,1144.0,160.5,39.0,80.1,205.3,504.8,3790.2,137.5,17724.4,3.2,4797.9,4429.3,1672.0,2796.3,13738.4,0.2,0.0
1991,13414.6,20242.4,12242.2,370.8,14653.0,15465.5,15839.0,..,158480.2,1136.7,160.8,37.0,77.6,201.4,498.4,3731.4,137.3,18005.9,3.2,4921.8,4552.7,1719.0,2877.7,14099.8,0.2,0.0
1992,11950.6,20551.6,10379.9,352.5,14793.8,15586.3,15925.9,..,160493.2,1037.6,156.9,34.4,67.8,191.4,458.9,2405.9,127.7,18001.6,3.1,4970.9,4605.5,1739.6,2914.0,14245.6,0.2,0.0
1993,11082.3,22025.3,6300.1,357.6,15488.4,16315.2,16655.9,..,167676.1,1057.5,161.6,34.3,67.5,194.4,464.5,2371.9,131.0,18723.8,3.3,5175.7,4801.1,1813.2,3037.0,14836.6,0.2,0.0
1994,10595.7,20440.4,6010.2,350.6,14443.9,15210.1,15520.3,..,158337.4,1014.5,153.9,32.7,66.0,186.2,450.6,2273.8,124.9,17740.5,3.1,4883.3,4534.2,1712.4,2867.5,14004.2,0.2,0.0
1995,9280.2,21361.8,5272.0,347.2,15080.0,15872.4,16189.0,..,165962.8,1001.3,158.4,32.8,62.4,188.2,442.2,1707.9,125.3,18558.4,3.2,5129.0,4762.5,1798.8,3013.0,14706.7,0.2,0.0
1996,9340.7,20758.5,4090.2,246.7,14625.6,15394.4,15698.4,..,161986.1,1001.4,160.3,32.9,62.0,189.7,443.6,1517.8,125.6,18829.9,3.3,5071.4,4721.5,1781.8,2977.8,14553.8,0.2,0.0
1997,8577.4,18621.5,3696.9,227.5,13170.2,13865.7,14145.0,..,148160.7,934.0,150.3,31.0,56.8,177.3,409.4,1430.5,117.8,17726.3,3.1,4627.0,4316.9,1627.0,2711.4,13286.4,0.2,0.0
1998,8159.0,16035.0,3391.8,212.7,11227.3,11818.7,12055.0,..,136919.2,838.4,135.7,28.3,52.6,161.6,377.0,1015.4,105.1,15885.6,2.8,4010.8,3756.7,1414.5,2349.8,11533.8,0.2,0.0
1999,7694.2,15747.8,3037.7,208.7,11124.6,11709.9,11943.5,..,124047.1,826.0,136.3,27.9,49.8,160.1,365.5,883.9,104.8,16151.8,2.8,3929.1,3690.9,1387.6,2298.3,11307.4,0.2,0.0
2000,7652.3,15333.6,2605.7,209.0,10865.9,11436.9,11665.3,1306.0,122397.9,830.3,138.4,28.2,49.3,161.8,365.9,793.6,105.8,16464.7,2.9,3862.2,3639.4,1366.7,2256.2,11125.8,0.2,0.0
2001,6992.4,14660.0,2180.5,195.9,10344.2,10885.8,11101.7,1195.5,117126.0,775.5,133.2,26.4,43.3,152.8,334.9,526.3,100.6,16101.9,2.8,3635.4,3441.1,1289.4,2118.8,10484.8,0.2,0.0
2002,6803.6,14100.3,2027.7,195.6,10063.2,10591.0,10801.4,1230.4,115660.8,796.1,139.0,26.9,41.6,156.5,333.4,554.1,104.8,17042.4,3.0,3585.0,3419.6,1277.1,2081.0,10362.8,0.2,0.0
2003,6934.5,15887.2,1962.9,205.1,11145.2,11731.0,11965.4,1163.0,126871.3,854.8,152.0,28.9,41.9,168.4,348.9,535.4,114.2,18864.9,3.3,3791.1,3630.4,1353.1,2194.9,10969.5,0.2,0.0
2004,6630.3,13572.4,1831.5,198.6,9778.8,10291.3,10497.0,1229.3,114891.5,827.7,148.6,28.1,39.7,163.9,335.7,429.8,111.2,18519.7,3.3,3484.4,3361.9,1249.3,2010.6,10106.2,0.2,0.0
2005,6000.9,14243.1,1459.9,188.7,10194.0,10730.8,10946.4,1226.1,119227.7,817.9,151.3,27.5,34.3,162.1,314.5,378.0,112.7,19261.6,3.4,3598.8,3474.7,1290.0,2072.2,10435.7,0.2,0.0
2006,5439.6,11675.0,1185.9,173.7,8616.0,9068.7,9251.0,1192.3,104059.2,752.9,141.4,25.2,29.1,149.1,280.8,341.1,105.1,18189.3,3.2,3148.8,3068.3,1134.5,1804.0,9155.6,0.2,0.0
2007,5612.0,12605.7,1171.9,182.1,9278.7,9772.4,9968.8,1110.1,108735.6,806.0,152.5,26.8,29.3,159.0,293.2,410.7,113.5,19778.9,3.5,3198.9,3147.9,1159.0,1823.1,9329.0,0.2,0.0
2008,5266.7,12788.7,1024.0,176.0,9292.1,9783.8,9981.6,1070.3,109695.8,803.4,154.2,26.7,27.2,159.0,285.9,348.9,114.4,20142.8,3.6,3182.5,3139.9,1154.8,1810.5,9287.6,0.3,0.0
2009,5277.5,12726.1,952.5,182.3,9333.3,9826.9,10026.4,1091.9,110618.8,840.4,163.0,28.0,27.1,166.9,295.0,290.1,120.5,21396.8,3.8,3184.3,3163.6,1160.1,1804.8,9312.8,0.3,0.0
2010,5377.0,12525.6,945.8,183.4,9141.2,9626.9,9822.4,1072.0,109454.3,832.9,161.4,27.7,26.7,165.1,291.7,316.7,119.4,21194.7,3.7,3110.7,3095.8,1134.4,1761.5,9102.4,0.3,0.0
2011,5223.7,12318.5,878.8,181.3,9003.3,9480.2,9673.2,1060.9,108968.3,842.3,164.4,28.0,26.0,167.2,291.6,288.1,121.4,21664.0,3.8,3057.0,3061.3,1118.9,1725.3,8962.5,0.3,0.0
2012,4977.3,11459.2,865.6,175.3,8409.3,8854.8,9035.3,995.4,102613.6,825.7,161.0,27.4,25.5,163.9,286.0,284.9,119.0,21222.2,3.8,2837.4,2865.6,1044.0,1594.8,8341.8,0.3,0.0
2013,4807.0,11043.5,835.7,168.2,8030.8,8457.0,8629.5,959.8,101623.4,797.7,155.4,26.4,24.4,157.9,274.9,320.2,115.0,20506.6,3.6,2713.8,2746.9,999.9,1523.5,7984.1,0.3,0.0
2014,4518.6,10111.1,769.0,156.6,7310.3,7698.6,7855.8,877.6,95547.6,738.8,144.2,24.4,22.3,146.3,253.7,289.9,106.7,19045.4,3.4,2462.2,2501.8,909.3,1379.6,7252.9,0.2,0.0
2015,4403.6,9719.8,744.4,154.9,7053.3,7428.0,7579.9,853.9,90466.7,735.3,143.6,24.3,22.2,145.7,252.5,280.2,106.2,18968.2,3.4,2365.4,2416.8,876.5,1321.7,6980.4,0.2,0.0
2016,4501.8,9643.5,753.5,158.3,6996.8,7368.6,7519.6,852.2,92697.8,755.0,147.7,25.0,22.4,149.5,257.9,294.7,109.3,19537.5,3.5,2339.3,2407.5,870.6,1302.1,6919.5,0.2,0.0
2017,4503.9,9494.2,765.4,159.2,6898.7,7265.4,7414.4,843.6,91215.1,765.8,149.7,25.3,22.8,151.5,261.5,313.7,110.8,19796.8,3.5,2300.3,2381.4,859.3,1276.5,6817.5,0.2,0.0
2018,3967.7,8090.6,653.3,140.4,5882.1,6194.4,6321.5,720.0,78634.2,670.6,131.7,22.2,19.7,133.2,228.8,221.1,97.2,17434.0,3.1,1955.8,2039.4,733.9,1081.5,5810.6,0.2,0.0
2019,3948.3,8099.0,651.8,138.0,5844.4,6155.0,6281.3,709.1,79981.2,659.6,129.5,21.8,19.3,130.7,224.4,240.6,95.7,17145.2,3.1,1939.9,2021.4,727.6,1072.9,5762.0,0.2,0.0
2020,3881.1,7683.8,630.5,136.7,5550.9,5846.0,5966.2,687.9,76366.5,653.4,128.4,21.6,19.0,129.6,222.1,228.8,94.8,17008.8,3.0,1839.1,1931.1,693.1,1013.1,5476.4,0.2,0.0
2021,3919.3,7789.5,629.6,138.0,5610.3,5908.0,6029.7,701.1,78837.7,655.2,129.1,21.8,19.1,130.5,223.4,179.4,95.1,17103.8,3.0,1860.1,1947.4,699.7,1026.3,5533.5,0.2,0.0
2022,3708.8,6999.3,599.9,130.9,5050.0,5318.3,5427.9,634.5,70724.6,625.7,123.0,20.7,18.2,124.2,212.8,205.9,90.8,16300.4,2.9,1663.2,1767.1,631.4,910.6,4972.3,0.2,0.0
2023,3708.8,6817.1,599.9,130.9,4915.8,5177.1,5283.9,623.4,69686.9,625.7,123.0,20.7,18.2,124.2,212.8,205.9,90.8,16300.4,2.9,1614.0,1725.0,615.0,880.9,4834.8,0.2,0.0
